customer_id,age,gender,annual_income,spending_score,purchase_frequency,avg_transaction_value,product_category,tenure_months,online_engagement_score,returns_ratio
1,56,Other,58058.00865193354,15,25,161.33940305472106,Clothing,62,38.0,0.426253089007447
2,46,Female,61086.37772908473,48,1,117.10054698348625,Clothing,71,59.0,0.2513541748757512
3,32,Other,82763.4148027561,82,11,183.718765109,Sports,31,9.0,0.3103633018525863
4,60,Female,53368.26751473683,42,19,196.9772416964507,Electronics,64,73.0,0.050527806706259004
5,25,Other,72362.81190561363,60,9,110.20375322439477,Beauty,25,72.0,0.5907455378256679
6,38,Male,49925.91038653717,84,27,239.7566634980311,Home,38,51.0,0.39984438281695134
7,56,Male,,70,2,325.87570798892284,Electronics,14,35.0,0.17124244107805348
8,36,Male,57919.00486400727,12,12,147.1236181028139,Home,8,82.0,0.3514850365291466
9,40,Female,70305.45705973532,2,4,257.0062575162871,Beauty,54,,0.06568941964139638
10,28,Male,83883.63925102138,7,4,281.67485405014185,Sports,2,14.0,0.5795020012845501
11,28,Female,61930.9052707755,80,18,243.32925797805655,Clothing,56,92.0,0.10487099273001955
12,41,Male,30003.261773529113,3,15,264.8554071792847,Clothing,61,30.0,0.38881819083312846
13,53,Male,72628.92587067875,3,19,265.78618100761685,Sports,22,4.0,0.14727267752335826
14,57,Female,436307.37393165677,27,13,184.98176344652543,Electronics,35,39.0,0.43053682958912143
15,41,Female,62173.37662134701,40,19,369.88660576094946,Electronics,16,84.0,0.4660928203441686
16,20,Male,25824.64721640841,33,17,349.82054672609723,Home,50,64.0,0.40405183734685957
17,39,Female,63393.05778941703,92,6,345.1929117792934,Sports,43,25.0,0.3686996761531155
18,19,Male,59939.74793632321,1,16,331.0940592435091,Electronics,17,28.0,0.535481456371207
19,41,Female,58257.82313275221,8,24,124.00164244535809,Sports,58,76.0,0.04717602659385482
20,61,Other,78908.19799954265,32,12,324.08499022495727,Beauty,2,66.0,0.1985488594681171
21,47,Other,87565.49572671448,48,19,302.44811420396064,Clothing,4,78.0,0.14897248777850758
22,55,Other,73671.71490402166,4,5,127.07811080449733,Clothing,39,22.0,0.592808377239253
23,19,Other,57338.83830657863,94,17,232.80717158799374,Clothing,6,31.0,0.23363386780012407
24,38,Other,82513.5756873926,70,26,272.14347594602305,Sports,69,23.0,0.43956761954423923
